,artist,genres
0,Sevdaliza,"['avant-garde pop', 'indie', 'art pop', 'trip hop', 'sevdaliza', 'alternative r&b', 'electronic']"
1,Hansraj Raghuwanshi,"['devotional', 'bhajan']"
2,The Rare Occasions,"['indie rock', 'alternative rock']"
3,Icegergert,[]
4,BOWKYLION,"['thai pop', 'thai indie pop', 't-pop']"
5,AY AY,[]
6,Sertab Erener,"['eurovision', 'pop', 'turkish pop', 'arabesk', 'turkish', 't-pop']"
7,Duongg,"['vietnamese lo-fi', 'v-pop', 'vietnam indie']"
8,梦然,"['c-pop', 'mandopop']"
9,Xclusef Yusef,"['post-bop', 'hard bop', 'boom bap', 'jazz', '2008 universal fire victim', 'jazz fusion', 'jazz-funk', 'avant-garde jazz']"
10,Emanero,"['cuarteto', 'cumbia']"
11,Madihu,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
12,Cường Lê,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
13,Guru Randhawa,"['hindi pop', 'bollywood', 'punjabi pop', 'desi pop', 'bhangra', 'filmi', 'indian pop', 'desi']"
14,Vantacrow,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
15,The Weeknd,"['dance-pop', 'pop', 'synth-pop', 'contemporary r&b', 'hypnagogic pop', 'r&b', 'alternative r&b', '2010s', '2020s']"
16,TheWeeknd,[]
17,Jasmin Moallem,['mizrahi']
18,Nanpa Básico,"['latin hip hop', 'mexican hip hop']"
19,Cá Hồi Hoang,"['indie', 'v-pop', 'vietnamese hip hop', 'vietnam indie']"
