artist,genres
#Annyeong,['k-ballad']
$A Milo,"['vietnamese hip hop', 'v-pop']"
$NOT,"['fixme or cleanup', 'special purpose', 'special purpose artist', 'unknown']"
$OHO BANI,['german hip hop']
$ami,['trap']
$ativa,"['vietnamese hip hop', 'v-pop']"
$atori Zoom,"['drift phonk', 'dark trap', 'phonk']"
$u,"['dark trap', 'emo rap', 'horrorcore', 'punk rap', 'cloud rap', 'underground hip hop']"
$uicideboy$,"['dark trap', 'emo rap', 'horrorcore', 'punk rap', 'cloud rap', 'underground hip hop']"
$¥,['v-pop']
(G)I-DLE,['k-pop']
(S)TRONG,"['v-pop', 'vietnamese lo-fi']"
-,"['fixme or cleanup', 'special purpose', 'special purpose artist', 'unknown']"
.Feast,"['indonesian indie', 'indorock']"
01099,['german hip hop']
01an,['hip hop']
070 Shake,"['2010s', '2020s', 'alternative hip hop', 'cloud rap', 'contemporary r&b', 'experimental hip hop', 'poggers']"
1 9 6 7,"['vietnamese lo-fi', 'vinahouse', 'v-pop', 'lo-fi']"
10-FEET,"['melodic hardcore', 'j-rock', 'j-pop']"
100лиця,[]
104,['k-ballad']
10AGE,['hip hop']
10CM,"['k-ballad', 'soundtrack']"
13 Organisé,['pop urbaine']
14 Casper,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']"
16 BeanCd,['vietnamese hip hop']
16 BrT,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
16 Dsloth,['vietnamese hip hop']
16 Northside,"['factory records', 'madchester']"
16 Rehtona,"['vietnamese hip hop', 'vinahouse']"
16 Typh,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
187 Strassenbande,['german hip hop']
1967,"['vietnamese lo-fi', 'vinahouse', 'v-pop', 'lo-fi']"
1989s Entertainment,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']"
1DEE,"['v-pop', 'vietnamese hip hop']"
1K,"['mandopop', 'c-pop', 'chinese r&b']"
1PLIKÉ140,['drill']
1da Banton,"['afrobeats', 'afrobeat', 'afropop']"
1nonly,['phonk']
1stClass,['dancehall']
21 Savage,"['gangsta rap', 'hip hop', 'mumble rap', 'pop rap', 'southern hip hop', 'trap']"
23,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
24k.Right,"['vietnamese hip hop', 'v-pop']"
24kGoldn,"['2020s', 'cloud rap', 'english', 'hip hop', 'lo-fi hip hop', 'pop rap', 'rap', 'trap']"
267,['v-pop']
2Can,"['vietnamese hip hop', 'vietnam indie', 'v-pop']"
2Pillz,"['vietnamese hip hop', 'v-pop']"
2Point1,"['amapiano', 'gqom']"
2See,['v-pop']
2pillz,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
3AM,['latin r&b']
3robi,['hip hop']
42 Dugg,"['2020s', '42 dugg', 'detroit', 'detroit trap', 'hardcore hip hop', 'hip hop', 'trap']"
5 Seconds of Summer,"['2010s', 'pop', 'pop punk', 'pop rock', 'power pop', 'teen pop']"
50 Cent,['east coast hip hop']
52Hz,"['v-pop', 'vietnam indie', 'vietnamese hip hop']"
5MIINUST,"['eurovision 2024 artists', 'hip hop']"
5mewmet,[]
6LACK,"['2010s', 'alternative r&b', 'contemporary r&b', 'hip hop', 'hip hop soul', 'pop soul', 'trap soul']"
6arelyhuman,"['hyperpop', 'nightcore']"
71 Digits,['slap house']
7UPPERCUTS,"['vietnam indie', 'v-pop', 'vietnamese hip hop']"
7dnight,"['vietnamese hip hop', 'v-pop']"
911,['v-pop']
95G,['vietnamese hip hop']
9Data9,[]
9mice,['trap']
A Boogie Wit da Hoodie,['melodic rap']
A Síng,[]
A$AP Rocky,['rap']
A-Lin,"['mandopop', 'taiwanese pop', 'c-pop', 'gufeng']"
A-Mei Chang,"['mandopop', 'taiwanese pop', 'c-pop']"
A.M. Turaz,"['sufi', 'bollywood', 'ghazal', 'hindi pop', 'desi']"
A.Popp,[]
A.R. Rahman,"['tamil pop', 'kollywood', 'bollywood', 'sufi', 'hindi pop', 'desi', 'tamil dance']"
A2h,['hip hop']
A36,['norwegian rap']
A7S,['vocal house']
ABHIR,"['hip hop', 'r&b', 'trap']"
ACRAZE,['tech house']
ACV,"['vinahouse', 'v-pop', 'vietnamese lo-fi']"
ACY,['vietnamese hip hop']
ADALYA,[]
AEP SIMON,"['v-pop', 'vietnamese hip hop']"
AFROJACK,"['edm', 'big room']"
AIGEL,"['hip hop', 'idm', 'russian hip hop']"
AK-69,"['j-rap', 'j-pop']"
AKASAKI,['j-pop']
AL SHAMI,"['khaleeji', 'arabic rap']"
ALBLAK 52,['hip hop']
ALCATRAZ,[]
ALEMOND,[]
ALISA,"['hard rock', 'russian', 'russian rock']"
ALLMO$T,"['pinoy hip hop', 'pinoy r&b', 'opm', 'p-pop']"
AM,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
AMEE,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
AMK,[]
AMUSIK,"['brazilian trap', 'trap funk', 'trap', 'brazilian hip hop']"
ANAVITÓRIA,"['mpb', 'nova mpb', 'brazilian pop']"
ANDRO,"['pop', 'contemporary r&b', 'hip hop']"
ANGUISH,"['hardstyle', 'frenchcore']"
"ANH TRAI ""SAY HI""","['v-pop', 'vietnamese hip hop']"
ANIKV,"['hip hop', 'pop', 'russian pop']"
ANNA,['italian trap']
ANNA ASTI,['russian pop']
ANOTR,"['house', 'tech house']"
AP Dhillon,"['punjabi hip hop', 'punjabi pop', 'desi', 'bhangra', 'desi hip hop', 'desi pop']"
AP$ENT,"['indie rock', 'russian pop']"
AQUAKEY,[]
ARO,['finnish']
ART,['k-pop']
ARTEM SHILOVETS,[]
ARY,['german hip hop']
ASH ISLAND,['k-rap']
ASTN,['r&b and soul']
ATB,['trance']
ATL Jacob,[]
AUR,"['norwegian pop', 'art pop']"
AURORA,"['norwegian pop', 'art pop']"
AVA,['italian trap']
AVAION,"['deep house', 'chill house']"
AVO,['german hip hop']
AX'EL,[]
AXMO,"['big room', 'hardstyle']"
AY AY,['future bass']
AYLIVA,"['german pop', 'german hip hop']"
Aan Story,"['indonesian pop', 'malay']"
Aarne,['hip hop']
Aaron Modesto,"['funk', 'funk consciente', 'trap funk']"
Aasa Singh,"['indian indie', 'hindi indie']"
Abd El Basset Hamouda,"['mahraganat', 'egyptian shaabi', 'egyptian pop', 'khaleeji']"
Abdul Hannan,"['indian indie', 'hindi indie', 'desi', 'desi pop']"
Abdullah Kasumbi,"['indian indie', 'hindi indie', 'desi']"
Abel Balder,['house']
Abhijay Sharma,"['punjabi pop', 'punjabi hip hop', 'desi pop', 'desi hip hop', 'hindi hip hop']"
Abhilipsa Panda,"['bhajan', 'devotional']"
Abida Parveen,"['sufi', 'qawwali', 'ghazal', 'desi']"
Abou Debeing,['pop urbaine']
Abyusif,"['egyptian hip hop', 'arabic rap', 'egyptian pop', 'mahraganat']"
Ace Banzuelo,"['opm', 'p-pop', 'pinoy r&b', 'harana', 'pinoy indie', 'kundiman']"
Achille Lauro,['italian trap']
Achtabahn,"['german pop', 'tropical house']"
Adam Levine,"['2010s', 'adam levine', 'blue-eyed soul', 'funk rock', 'neo soul', 'pop', 'pop rock', 'soft rock']"
Adam Port,"['afro house', 'melodic house']"
Adarsh Krishnan N,"['malayalam hip hop', 'tamil indie']"
Addison Rae,"['2020s', 'bubblegum pop', 'dance-pop', 'pop', 'pop rock', 'teen pop']"
Ade Govinda,"['malay', 'indonesian pop', 'malay pop']"
Adekunle Gold,"['afrobeats', 'afrobeat', 'afropop', 'alté', 'afro soul', 'afroswing']"
Adele,['soft pop']
Adelmar Borrego,['lullaby']
Adie,"['opm', 'harana', 'kundiman', 'p-pop', 'pinoy indie']"
Aditya A,"['indian indie', 'hindi indie', 'hindi pop']"
Aditya Bhardwaj,"['indian indie', 'hindi indie', 'desi pop', 'hindi pop']"
Aditya Rikhari,"['hindi indie', 'indian indie', 'desi pop']"
Aditya Sharma,[]
Adrian Khalif,['indonesian pop']
Adrianne Lenker,['indie folk']
Adèle Castillon,['french pop']
Afroto,"['egyptian hip hop', 'arabic rap', 'mahraganat', 'egyptian pop', 'khaleeji']"
Afsana Khan,"['desi', 'punjabi pop']"
Aftershine,"['lagu jawa', 'dangdut', 'funkot']"
Agam Aggarwal,"['bhajan', 'devotional']"
Agatino Romero,[]
Age Of Love,['techno']
Agiff,[]
AgroPlay,"['agronejo', 'sertanejo', 'sertanejo universitário']"
Agust D,"['k-pop', 'k-rap']"
Ahmad Amin,['german hip hop']
Ahmed Jahanzeb,['desi']
Ahmed Saad,"['mahraganat', 'egyptian pop', 'khaleeji', 'egyptian shaabi', 'arabic rap']"
Aileron,['noise']
Aime Simone,['pop']
Aimer,"['anime', 'j-pop', 'j-rock']"
Aina Abdul,"['malay', 'malay pop', 'malaysian pop']"
Airbag,['argentine rock']
Aishwarya Suresh Bindra,"['kollywood', 'tamil pop']"
Aitana,"['2020s', 'electropop', 'latin', 'latin pop']"
Aitch,"['grime', 'uk drill', 'drill']"
Ajaxx,"['brazilian trap', 'trap', 'trap funk', 'brazilian hip hop']"
Ajebo Hustlers,"['afrobeats', 'alté', 'afrobeat', 'afropop', 'afro adura', 'afro soul']"
Ak4:20,"['chilean trap', 'reggaeton chileno', 'chilean mambo', 'mambo', 'urbano latino']"
Akapellah,['latin hip hop']
Akashdeep Sengupta,['hindi pop']
Akhil Sachdeva,"['hindi pop', 'bollywood']"
Aki,"['vietnamese hip hop', 'vietnamese lo-fi', 'v-pop', 'vietnam indie', 'italo disco', 'hi-nrg']"
Akiva,['mizrahi']
Akshay Kumar,['bollywood']
Al James,"['pinoy hip hop', 'pinoy r&b', 'opm', 'p-pop']"
Al Nather,"['arabic rap', 'egyptian hip hop', 'khaleeji']"
Al Xapo,"['amapiano', 'gqom']"
Alaina Castillo,"['2019', 'female vocalists', 'latin', 'pop', 'rnb', 'spanish', 'youtube']"
Alan Walker,"['2010s', '2020s', 'dance', 'edm', 'electro house', 'electronic', 'electropop', 'future bass', 'pop', 'progressive house', 'tropical house']"
Alcemist,['drum and bass']
Alcolirykoz,['latin hip hop']
Alef Donk,"['arrocha', 'piseiro', 'seresta', 'forró']"
Alena,['trance']
Alessia Cara,"['2010s', '2020s', 'adult alternative', 'alternative r&b', 'contemporary r&b', 'lyricist', 'musician', 'pop', 'pop rock', 'pop soul', 'r&b', 'soul', 'vocalist']"
Alesso,['edm']
Alex Favela,"['electro corridos', 'corrido', 'corridos tumbados', 'corridos bélicos']"
Alex Isley,"['neo soul', 'alternative r&b']"
Alex Krack,['rkt']
Alex Lam,"['v-pop', 'vietnamese hip hop']"
Alex Rose,"['trap latino', 'reggaeton', 'urbano latino']"
Alex Velea,['manele']
Alex Warren,"['2020s', 'indie pop', 'pop']"
Alexandre Tharaud,"['classical piano', 'classical']"
Alexia,"['2000s', 'bubblegum dance', 'bubblegum pop', 'euro house', 'eurodance', 'europop', 'italo dance', 'italo house', 'italy', 'pop', 'synth-pop', 'techno']"
Aleyna Tilki,"['turkish pop', 't-pop']"
Alfa,"['indie pop', 'italia', 'pop', 'pop rap']"
Ali Hoàng Dương,"['v-pop', 'vietnamese hip hop']"
Ali Rabee,"['mahraganat', 'egyptian pop', 'khaleeji', 'egyptian shaabi']"
Ali Sethi,"['ghazal', 'sufi', 'qawwali', 'desi', 'hindi indie', 'indian indie', 'hindi pop']"
Alicia de Larrocha,"['classical piano', 'classical']"
