id,name,popularity,followers,genres
08xn7sYY4KworP8Vc3GoiU,Orinn,55,558309,"['vinahouse', 'vietnamese lo-fi', 'v-pop', 'lo-fi']"
0jF7Zlz8P5p74zcH7YwcMU,Anh Quân Idol,42,36965,"['vinahouse', 'vietnamese lo-fi', 'v-pop', 'lo-fi']"
7MsHVZKh1TeKgGqm65kZnY,Vũ Duy Khánh,35,22264,"['vinahouse', 'v-pop', 'vietnamese bolero']"
7JpgJSzLFVxFcMIRUhq7vV,Lương Bích Hữu,36,27958,"['vinahouse', 'v-pop', 'vietnamese bolero', 'vietnamese lo-fi']"
0okOBQvuWiPJnfvvmosphN,VIET.,35,24396,"['vinahouse', 'vietnamese lo-fi', 'v-pop']"
26NyVPtPZVaLKTuHhEKHQR,Lâm Chấn Khang,34,74377,"['v-pop', 'vietnamese bolero', 'vinahouse']"
0BwuE4uwhneqJyf2i3evtr,Nhật Phong,31,39879,"['vinahouse', 'vietnamese lo-fi', 'v-pop', 'vietnamese bolero']"
2Z5RRfYUri6Ed0kpcTS532,Đinh Đại Vũ,24,5879,"['vinahouse', 'v-pop', 'vietnamese lo-fi']"
4HxmYH4nQ0ySbXoZJgkWgO,Cao Nam Thanh,23,8821,"['vinahouse', 'vietnamese lo-fi', 'v-pop']"
4cwJ1rHmQPoxKC4KmNnOx6,Lương Gia Hùng,21,1892,"['vinahouse', 'vietnamese lo-fi', 'v-pop']"
3VJCZVPht5CES0B5wIJKeW,Bác sĩ Hải,21,15339,"['vinahouse', 'v-pop']"
4TIkbzRb0DgLNgvYFndhyP,Khưu Huy Vũ,22,10565,"['vietnamese bolero', 'vinahouse', 'bolero', 'traditional music']"
1mZMrngksK45xA6GYOpxPt,Quách Tuấn Du,23,14042,"['vietnamese bolero', 'vinahouse', 'bolero']"
06SicyiJaPtTdRWR015ZKw,Saka Trương Tuyền,24,34235,"['vinahouse', 'vietnamese bolero', 'v-pop']"
4Tl20SnUCvoHDCBEDR9DOZ,Du Thiên,18,3095,"['vinahouse', 'v-pop']"
1tuwKCpqzgE7Osgv0z7lUE,Trương Khải Minh,16,3490,['vinahouse']
3Po0bFynB4xcPkXmyw3CSl,Moi DJ,17,2525,"['vinahouse', 'v-pop']"
16nTcForrPxEZsqqJUodt4,BD Media Music,15,54923,"['vinahouse', 'vietnamese lo-fi', 'v-pop']"
688jabvjkBHWBVkggVVwbH,NLy,14,495,"['vinahouse', 'v-pop']"
2hQhwewANVvoJkH7SHEdEs,Vĩnh Thuyên Kim,17,41688,"['vinahouse', 'vietnamese bolero', 'v-pop']"
4F1FCglJnRnrggZjJDTWpG,Mây Trắng,11,1929,"['v-pop', 'vinahouse']"
1S0Bsmjx0UHR7oz0JsZ3G4,Lương Gia Huy,16,15368,"['vinahouse', 'vietnamese bolero', 'v-pop']"
19Huao8hcyqrrMe5B3sB97,DJ Tom2k,9,503,"['vinahouse', 'vietnamese hip hop']"
2rV6o5IFuWgGBjSe6ZHH2z,Châu Ngọc Tiên,13,4325,"['vinahouse', 'vietnamese bolero', 'v-pop']"
6gD9ykvF8IWPWLVZm5EwGS,Kiwi Ngo Mai Trang,12,309,"['vinahouse', 'v-pop']"
6megZpm9IV0F6FUU09sJFw,Hoàng Minh,11,1571,"['vietnamese bolero', 'vinahouse', 'v-pop']"
7xCRA5plEPlwri2Tf9Pcd8,Dinh Kien Phong,9,3706,"['vinahouse', 'v-pop']"
03hVdiz1KdQ9rhIKQoJXsE,Marr D,4,281,"['vinahouse', 'v-pop']"
22Cg030HR9Ytnyc1uJ11rO,Hàn Khởi,4,115,"['vinahouse', 'v-pop']"
3tFUGTgirIAVQC8fPWMAvr,Lam Chan Kiet,7,374,"['vinahouse', 'v-pop']"
6x7lrx497B2xg2iIFLMrOR,HpvTV DJ Mat Xac,5,5185,"['vinahouse', 'vietnamese hip hop']"
79OXsqyO0oJnw1GPocEHvy,Dương Bửu Trung,7,2812,"['vinahouse', 'vietnamese bolero', 'bolero']"
6h54CyJrKz7VFTbhcNa5z5,Cao Sy Hung,2,155,['vinahouse']
7d9FVZiZSeihU5Ybz9RQDd,DJ Hoang Anh,1,739,['vinahouse']
6AL6yQvDtbRLwX9jsaCPbK,Thien Dung,0,51,['vinahouse']
55u2fV3xBZZJT3VCL2WeZB,Nguyen Hong Phuc,2,167,"['traditional music', 'vinahouse']"
4pPPr8Q8BFmD8euPE0Gxei,Ánh Chuột,0,170,[]
7kuPvJW5dFp3jcDzbCJuCf,Nguyen Hai Yen,0,120,[]
63aNYEnei9zRJabFnVRQ3c,Mai Quốc Việt,0,135,['vinahouse']
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,67,2109280,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']"
3diftVOq7aEIebXKkC34oR,tlinh,65,1391776,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,64,6425018,"['v-pop', 'vinahouse', 'vietnamese hip hop']"
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,62,548625,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']"
1W2pigH6UYwuTuFbwoSfVZ,RHYDER,62,481829,"['v-pop', 'vietnamese hip hop']"
57g2v7gJZepcwsuwssIfZs,Vũ.,62,2357407,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']"
0ZbgKh0FgPYeFP38nVaEGp,Obito,61,888670,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
1cPpd989kghzlZqfpP4KwL,RAP VIỆT,62,1866271,"['vietnamese hip hop', 'v-pop']"
1L1VfizWn4DkFt602yD80U,ERIK,61,996371,"['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,61,988492,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']"
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,60,1118690,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
1LEtM3AleYg1xabW6CRkpi,Đen,60,4255917,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,60,1154524,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
0slOzRzTQb1RBBVJbvRITP,Quang Hùng MasterD,60,332697,"['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnamese hip hop']"
4fg8aMZ23d2bxKz7r2vt9v,Negav,59,275370,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
3rjcQ5VIWCN4q7UFetzdeO,JustaTee,59,1104349,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
6d0dLenjy5CnR5ZMn2agiV,GREY D,59,415620,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']"
13c4ijEkXNvEFoxGxwp5Su,Pháp Kiều,58,179864,"['v-pop', 'vietnamese hip hop']"
2nSO7JYDbJrYbJmP39qUzj,Binz,58,1183543,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']"
30eFAXoU2kTjJPf2cq80B8,WEAN,58,412224,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
2aQnC3DbZB9GbauvhAw7ve,AMEE,58,1501974,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
1WvNgEoB66jmHodcj15Zi9,B Ray,58,976730,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']"
6NF9Oa4ThQWCj6mogFSrVD,W/N,57,1537348,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']"
6EybZ5zwPNEtEngfrEMevN,JSOL,57,201448,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop']"
5lAfakPZgxFKgiJD6xAF1G,Orange,57,550656,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']"
2aMo0CYbTieTisS0BlWc59,VSTRA,56,285095,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
0V2DfUrZvBuUReS1LFo5ZI,Ngọt,56,846359,"['vietnam indie', 'v-pop', 'vietnamese hip hop']"
75Ki5hBCOpDtKGoFyTvLxP,Lou Hoàng,56,486962,"['v-pop', 'vinahouse', 'vietnamese lo-fi']"
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,57,603401,"['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']"
1Qia4CTwh6x0CZbD0079zi,CoolKid,56,93969,"['v-pop', 'vietnamese hip hop']"
5FWPIKz9czXWaiNtw45KQs,Đức Phúc,56,1294857,"['v-pop', 'vinahouse', 'vietnam indie', 'vietnamese lo-fi']"
7yquVKfxBuNFJbG9cy2R8A,Vũ Cát Tường,55,769948,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']"
5jTFNkoZebPnX90CbB3F2A,MONO,54,927165,"['v-pop', 'vietnamese hip hop', 'vinahouse']"
2NRcG7E1j2sSi8vnUzCcpi,Quân A.P,54,721004,"['v-pop', 'vietnamese lo-fi', 'vietnam indie']"
62D1qvKkvUCvXEtY1xwRfo,Anh Tú Atus,54,164373,"['v-pop', 'vietnamese hip hop']"
2rVYwIYNEsMxtt8j5yemHb,T.R.I,54,242836,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']"
4RPhZ2g5GYff0hKNBlZKXh,Ali Hoàng Dương,53,93944,"['v-pop', 'vietnamese hip hop']"
6OzE2OdvV2tGAxSBsBuZ74,Hoàng Dũng,54,679643,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']"
2xvW7dgL1640K8exTcRMS4,Chillies,53,921691,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']"
2rKtPYcwYmevNcaqzJOwvf,MANBO,53,148862,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
