id,name,artists,stream_counts
31VNCmwspR7nVJ6kruUuJt,Đừng Làm Trái Tim Anh Đau,['Sơn Tùng M-TP'],40020316.0
2wZAvkgiOE5tyrnqhB69KA,Âm Thầm Bên Em,['Sơn Tùng M-TP'],33029412.0
3OVMe3H6iAxbLF8iD2UYrw,Chúng Ta Của Tương Lai,['Sơn Tùng M-TP'],29533035.0
4vfhartd7HDWGJbdVIycEu,Muộn Rồi Mà Sao Còn,['Sơn Tùng M-TP'],49953175.0
1J3SmWwlYAG68LGKr86MVH,Chúng Ta Của Hiện Tại,['Sơn Tùng M-TP'],58417877.0
7ESH2ntyD5Bb1XckoJU554,Một Năm Mới Bình An,['Sơn Tùng M-TP'],8246014.0
5rSAUmbOg4giDrM29vUyHe,Nơi Này Có Anh,['Sơn Tùng M-TP'],31967209.0
3P3rcI48wwVEgxF5vPM6pG,Buông Đôi Tay Nhau Ra,['Sơn Tùng M-TP'],20547598.0
6aaNsCMWPBaUuJE1grH6Po,Có Chắc Yêu Là Đây,['Sơn Tùng M-TP'],31243253.0
7bn8ckDTI4EQIKZ6jRL4K0,Chúng Ta Không Thuộc Về Nhau,['Sơn Tùng M-TP'],13011000.0
4SqE2XLtd1AfppGm2xlkf4,Nắng Ấm Xa Dần,['Sơn Tùng M-TP'],6749789.0
527UV7H9SbnmTVkxBVg56X,Chắc Ai Đó Sẽ Về,['Sơn Tùng M-TP'],11601765.0
0tyrLp1zVAjN3EV95EuOzQ,Không Phải Dạng Vừa Đâu,['Sơn Tùng M-TP'],8749073.0
0tPBIwb0p5mozyF6GZVTUG,Như Ngày Hôm Qua,['Sơn Tùng M-TP'],11193900.0
4Qt47y3EVOHQjILfzJ8NhI,Nơi Này Có Anh,['Sơn Tùng M-TP'],32019137.0
5x5Vx0Musv3LSUKzjY73mA,Hãy Trao Cho Anh,"['Sơn Tùng M-TP', 'Snoop Dogg']",29177776.0
6NX2B1nLrulC8XogMQzVaI,Em Của Ngày Hôm Qua,['Sơn Tùng M-TP'],3445013.0
2By2GAKNBofnNK1H9Hpv4C,Cơn Mưa Ngang Qua,['Sơn Tùng M-TP'],2281654.0
0XaY8eVU9eZO4OdIV6agx1,Lạc Trôi,['Sơn Tùng M-TP'],13341820.0
6HGOxrNik4iPurqStawTFQ,MAKING MY WAY,['Sơn Tùng M-TP'],14845664.0
7x3LYoKxGAtu4hjSkZdxj4,Ấn Nút Nhớ... Thả Giấc Mơ,['Sơn Tùng M-TP'],6666699.0
4L2oeZlKbhJZK2qiu4UaeD,Anh Sai Rồi,['Sơn Tùng M-TP'],5421312.0
6Ymfomc8oUF5vNy73Xjh10,Khuôn Mặt Đáng Thương,['Sơn Tùng M-TP'],4790547.0
2iXFI7VBq8BWHtYjS2nzJe,Chạy Ngay Đi,['Sơn Tùng M-TP'],12866050.0
3IIvAUPtTqcvB4YnEbYGVX,Chạy Ngay Đi - Onionn Remix,"['Sơn Tùng M-TP', 'Onionn.']",21850036.0
6aPYnXjkZynhGXidGqIg9d,Âm Thầm Bên Em,['Sơn Tùng M-TP'],33082921.0
7rjtRM1AgmmraeTTX8tofW,THERE'S NO ONE AT ALL,['Sơn Tùng M-TP'],11488035.0
2ui8tZhrSGn1wRGSmCeQy3,Cơn Mưa Xa Dần,['Sơn Tùng M-TP'],5148101.0
2ShQq13oxO44pXA4WBfwjU,Nắng Ấm Xa Dần - Onionn Remix,"['Sơn Tùng M-TP', 'Onionn.']",7076915.0
47LfwpXGLlwo4qqH0cHc7H,Chúng Ta Không Thuộc Về Nhau,['Sơn Tùng M-TP'],13031749.0
5Kl2rxJaxzlkFYUgIeY2B9,Nắng Ấm Ngang Qua,['Sơn Tùng M-TP'],5737432.0
6Am4hFMk9W4tHRoAUbPJtu,Remember Me - SlimV Remix,"['Sơn Tùng M-TP', 'SlimV']",2223995.0
6d6oSgy2qeixaiARTRvNf6,Em Của Ngày Hôm Qua,['Sơn Tùng M-TP'],2989263.0
7e120iW6hGXTu0h8dtC8Py,Thái Bình Mồ Hôi Rơi,['Sơn Tùng M-TP'],2960269.0
3Yfedn84e2VLXSVwmowqEn,There's No One At All (Another Version),['Sơn Tùng M-TP'],4214537.0
1JQSsZjpk61POozXW3L45P,Anh Sai Rồi,['Sơn Tùng M-TP'],5429737.0
2eVPT00C8Z7jTRgU4XHpGt,Lạc Trôi,['Sơn Tùng M-TP'],13353749.0
2gzz22srhj2xxG8ytBtQgY,Một Năm Mới Bình An,['Sơn Tùng M-TP'],8258278.0
4Nudo7D6XMAwTsaY39TBpJ,Tiến Lên Việt Nam Ơi,['Sơn Tùng M-TP'],1715356.0
