album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
Đi Về Nhà,single,50,"['Đen', 'JustaTee']",185,1,200000,False,7LVrrX8pkzI9fMF88nGabt,False,True,Đi Về Nhà,61,1,track,2020-12-20,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
CUA,single,40,"['MANBO', 'HIEUTHUHAI']",185,1,193475,True,0ReId5SRMspb6ISw0rBsBN,False,True,CUA,50,1,track,2020-04-05,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
Hẹn Gặp Em Dưới Ánh Trăng,single,53,"['MANBO', 'HIEUTHUHAI', 'HURRYKNG']",185,1,222000,False,0s7RyyUlQfd8mnnboHe18n,False,True,Hẹn Gặp Em Dưới Ánh Trăng,63,1,track,2020-09-25,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
Still With You,single,64,['Jung Kook'],185,1,239905,False,0eFMbKCRw8KByXyWBw8WO7,False,True,Still With You,75,1,track,2020-06-05,['k-pop']
HELP EVER HURT NEVER,album,65,['Fujii Kaze'],179,1,185573,False,0o9zmvc5f3EFApU52PPIyW,False,True,Shinunoga E-Wa,74,8,track,2020-05-20,['j-pop']
Stuck with U,single,66,"['Ariana Grande', 'Justin Bieber']",184,1,228482,False,4HBZA5flZLE435QTztThqH,False,True,Stuck with U (with Justin Bieber),77,1,track,2020-05-08,['pop']
Dynamite (DayTime Version),single,54,['BTS'],185,1,199053,False,72IwoG8tqvIWV10IHjpNNA,False,True,Dynamite,63,1,track,2020-08-28,['k-pop']
24h,single,41,['Lyly'],185,1,257000,False,4inMQ83GNpQ2OHDredH5hW,False,True,24h,51,1,track,2020-10-28,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
After Hours,album,83,['The Weeknd'],184,1,200040,False,0VjIjW4GlUZAMYd2vXMi3b,False,True,Blinding Lights,85,9,track,2020-03-20,[]
Dreamland,album,74,['Glass Animals'],184,1,238805,False,3USxtqRwSYz57Ewm6wWRMp,False,True,Heat Waves,82,14,track,2020-08-07,[]
Manic,album,71,['Halsey'],182,1,201660,True,6FZDfxM3a3UCqtzo5pxSLZ,False,True,Without Me,79,9,track,2020-01-17,[]
dreaAMEE,album,53,['AMEE'],184,1,216500,False,5tdz7T4hTxA1ipJMBe24uX,False,True,"ex's hate me, Pt.2",55,7,track,2020-06-20,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
After Hours,album,83,['The Weeknd'],184,1,215626,True,5QO79kh1waicV47BqGRL3g,False,True,Save Your Tears,82,11,track,2020-03-20,[]
Đường Tôi Chở Em Về,single,47,['buitruonglinh'],184,1,266000,False,27F22WcGDyl4Z2KylVJkXL,False,True,Đường Tôi Chở Em Về,57,1,track,2020-07-03,"['vietnam indie', 'vietnamese lo-fi', 'v-pop', 'vinahouse']"
Blue Tequila,single,42,['Táo'],184,1,202624,False,4MRXbWH2BzuUZcoabj6HRh,False,True,Blue Tequila,52,1,track,2020-08-27,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
D-2,album,67,['Agust D'],185,1,225668,True,0JKGe340YJwfDrpXqPQ8sw,False,True,Daechwita,72,2,track,2020-05-22,"['k-pop', 'k-rap']"
death bed (coffee for your head),single,67,"['Powfu', 'beabadoobee']",185,1,173333,False,7eJMfftS33KTjuF7lTsMCx,False,True,death bed (coffee for your head),78,1,track,2020-02-08,['bedroom pop']
Có Chắc Yêu Là Đây,single,45,['Sơn Tùng M-TP'],183,1,202105,False,6aaNsCMWPBaUuJE1grH6Po,False,True,Có Chắc Yêu Là Đây,55,1,track,2020-07-06,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
The Playah,single,45,['SOOBIN'],138,1,225358,False,0SmQ0UWeiHKQtxUej4Rem6,False,True,Tháng Năm,54,3,track,2020-12-15,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
Positions,album,75,['Ariana Grande'],184,1,172324,True,35mvY5S1H3J2QZyna3TFe0,False,True,positions,76,12,track,2020-10-30,['pop']
Cứ Chill Thôi,single,41,"['Chillies', 'SUNI', 'Rhymastic']",185,1,270000,False,014DA3BdnmD3kI5pBogH7c,False,True,Cứ Chill Thôi,51,1,track,2020-07-11,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
bao tiền một mớ bình yên?,single,40,"['14 Casper', 'Bon Nghiêm']",185,1,300000,False,3wn8HJNjkY4wzTBy35ZvQ6,False,True,bao tiền một mớ bình yên?,50,1,track,2020,"['vietnam indie', 'vietnamese lo-fi', 'v-pop']"
Chờ Đợi Có Đáng Sợ,single,44,['Andiez'],185,1,282666,False,4h3K653rm69JYWpO4du2BJ,False,True,Chờ Đợi Có Đáng Sợ,54,1,track,2020-07-20,"['vietnam indie', 'vietnamese lo-fi', 'v-pop']"
Dù Cho Mai Về Sau,single,46,['buitruonglinh'],185,1,233975,False,4Iz5EWPCAT8jYNk4IpLoll,False,True,Dù Cho Mai Về Sau,56,1,track,2020-11-17,"['vietnam indie', 'vietnamese lo-fi', 'v-pop', 'vinahouse']"
Bật Nhạc Lên,single,44,"['HIEUTHUHAI', 'Harmonie']",185,1,200000,False,0hiQvlWSSTr7n1kc1X2Lus,False,True,Bật Nhạc Lên,54,1,track,2020-06-12,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
"Em Không Sai, Chúng Ta Sai",single,45,['ERIK'],185,1,291529,False,3yWacnoBnM0lrzLmXAk44d,False,True,"Em Không Sai, Chúng Ta Sai",55,1,track,2020-05-07,"['vietnam indie', 'vietnamese lo-fi', 'v-pop', 'vinahouse']"
BE,album,71,['BTS'],184,1,199053,False,5QDLhrAOJJdNAmCTJ8xMyW,False,True,Dynamite,77,8,track,2020-11-20,['k-pop']
Heaven & Hell,album,75,['Ava Max'],185,1,187436,False,7DnAm9FOTWE3cUvso43HhI,False,True,Sweet but Psycho,78,16,track,2020-09-18,[]
