album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Đi Về Nhà,single,50,"['Đen', 'JustaTee']",1,200000,False,7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,61,1,2020-12-20,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",40920596.0
CUA,single,40,"['MANBO', 'HIEUTHUHAI']",1,193475,True,0ReId5SRMspb6ISw0rBsBN,CUA,50,1,2020-04-05,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",13677572.0
Hẹn Gặp Em Dưới Ánh Trăng,single,53,"['MANBO', 'HIEUTHUHAI', 'HURRYKNG']",1,222000,False,0s7RyyUlQfd8mnnboHe18n,Hẹn Gặp Em Dưới Ánh Trăng,63,1,2020-09-25,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",26714031.0
Still With You,single,64,['Jung Kook'],1,239905,False,0eFMbKCRw8KByXyWBw8WO7,Still With You,75,1,2020-06-05,['k-pop'],272565438.0
HELP EVER HURT NEVER,album,65,['Fujii Kaze'],1,185573,False,0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,74,8,2020-05-20,['j-pop'],656179826.0
Stuck with U,single,66,"['Ariana Grande', 'Justin Bieber']",1,228482,False,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),77,1,2020-05-08,['pop'],1233247635.0
Dynamite (DayTime Version),single,54,['BTS'],1,199053,False,72IwoG8tqvIWV10IHjpNNA,Dynamite,63,1,2020-08-28,['k-pop'],2024180031.0
24h,single,41,['Lyly'],1,257000,False,4inMQ83GNpQ2OHDredH5hW,24h,51,1,2020-10-28,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']",13689452.0
After Hours,album,83,['The Weeknd'],1,200040,False,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,85,9,2020-03-20,[],4293744430.0
Dreamland,album,74,['Glass Animals'],1,238805,False,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,82,14,2020-08-07,[],3296021376.0
Manic,album,71,['Halsey'],1,201660,True,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,79,9,2020-01-17,[],2197889244.0
dreaAMEE,album,53,['AMEE'],1,216500,False,5tdz7T4hTxA1ipJMBe24uX,"ex's hate me, Pt.2",55,7,2020-06-20,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']",22623509.0
After Hours,album,83,['The Weeknd'],1,215626,True,5QO79kh1waicV47BqGRL3g,Save Your Tears,82,11,2020-03-20,[],2264542980.0
Đường Tôi Chở Em Về,single,47,['buitruonglinh'],1,266000,False,27F22WcGDyl4Z2KylVJkXL,Đường Tôi Chở Em Về,57,1,2020-07-03,"['vietnam indie', 'vietnamese lo-fi', 'v-pop', 'vinahouse']",19129672.0
Blue Tequila,single,42,['Táo'],1,202624,False,4MRXbWH2BzuUZcoabj6HRh,Blue Tequila,52,1,2020-08-27,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']",20057093.0
D-2,album,67,['Agust D'],1,225668,True,0JKGe340YJwfDrpXqPQ8sw,Daechwita,72,2,2020-05-22,"['k-pop', 'k-rap']",380972379.0
death bed (coffee for your head),single,67,"['Powfu', 'beabadoobee']",1,173333,False,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),78,1,2020-02-08,['bedroom pop'],1792875810.0
Có Chắc Yêu Là Đây,single,45,['Sơn Tùng M-TP'],1,202105,False,6aaNsCMWPBaUuJE1grH6Po,Có Chắc Yêu Là Đây,55,1,2020-07-06,"['vietnamese hip hop', 'v-pop', 'vinahouse']",31219156.0
