id,name,artists,stream_counts
7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,"['Đen', 'JustaTee']",40920596
0ReId5SRMspb6ISw0rBsBN,CUA,"['MANBO', 'HIEUTHUHAI']",13677572
0s7RyyUlQfd8mnnboHe18n,Hẹn Gặp Em Dưới Ánh Trăng,"['MANBO', 'HIEUTHUHAI', 'HURRYKNG']",26714031
0eFMbKCRw8KByXyWBw8WO7,Still With You,['Jung Kook'],272565438
0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,['Fujii Kaze'],656179826
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",1233247635
72IwoG8tqvIWV10IHjpNNA,Dynamite,['BTS'],2024180031
4inMQ83GNpQ2OHDredH5hW,24h,['Lyly'],13689452
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,['The Weeknd'],4293744430
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,['Glass Animals'],3296021376
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,['Halsey'],2197889244
5tdz7T4hTxA1ipJMBe24uX,"ex's hate me, Pt.2",['AMEE'],22623509
5QO79kh1waicV47BqGRL3g,Save Your Tears,['The Weeknd'],2264542980
27F22WcGDyl4Z2KylVJkXL,Đường Tôi Chở Em Về,['buitruonglinh'],19129672
4MRXbWH2BzuUZcoabj6HRh,Blue Tequila,['Táo'],20057093
0JKGe340YJwfDrpXqPQ8sw,Daechwita,['Agust D'],380972379
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"['Powfu', 'beabadoobee']",1792875810
6aaNsCMWPBaUuJE1grH6Po,Có Chắc Yêu Là Đây,['Sơn Tùng M-TP'],31219156
0SmQ0UWeiHKQtxUej4Rem6,Tháng Năm,['SOOBIN'],20029349
35mvY5S1H3J2QZyna3TFe0,positions,['Ariana Grande'],1562062104
014DA3BdnmD3kI5pBogH7c,Cứ Chill Thôi,"['Chillies', 'SUNI', 'Rhymastic']",37074948
